GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,season,group_size
Lineups,-201142-1641708-,K. Durant - A. Thompson,1610612745,HOU,55,33,22,0.6,1550.0,115.4,116.3,109.6,110.0,5.8,6.3,0.587,1.62,17.5,0.405,0.712,0.56,0.156,0.54,0.577,99.6,99.05,82.54,3204,0.544,61,91,4385,1471,1,1061,2210,1357,3446,2681,2565,549,1696,567,3181,2135,2086,3921,1114,4650710,2025-26,2
Lineups,-1630552-1630700-,J. Johnson - D. Daniels,1610612737,ATL,54,30,24,0.556,1531.0,114.7,115.3,111.0,112.3,3.6,2.9,0.716,2.37,21.5,0.266,0.701,0.486,0.13,0.562,0.593,105.2,104.38,86.98,3323,0.516,75,176,4498,1827,2,1210,2704,1711,876,598,390,3395,2068,2891,1518,1319,1462,1855,1694,4592795,2025-26,2
Lineups,-1631095-1641708-,J. Smith Jr. - A. Thompson,1610612745,HOU,55,34,21,0.618,1525.0,115.9,117.0,109.8,110.6,6.1,6.4,0.582,1.71,17.6,0.397,0.704,0.55,0.149,0.544,0.578,99.0,98.2,81.83,3116,0.535,61,71,4307,1386,3,956,2352,1346,3546,2377,2491,638,1977,677,2803,1982,2062,4121,1283,4576110,2025-26,2
Lineups,-201142-1631095-,K. Durant - J. Smith Jr.,1610612745,HOU,54,33,21,0.611,1518.0,116.6,118.6,110.8,111.5,5.8,7.1,0.588,1.67,18.0,0.392,0.71,0.553,0.155,0.551,0.587,99.4,98.18,81.82,3110,0.543,75,91,4307,1425,4,748,2543,1258,3432,2495,2233,685,1752,645,3142,1690,1671,4130,1128,4554750,2025-26,2
Lineups,-1629638-1630552-,N. Alexander-Walker - J. Johnson,1610612737,ATL,55,29,26,0.527,1515.0,113.5,114.3,111.6,112.5,1.9,1.8,0.704,2.27,20.9,0.258,0.699,0.481,0.13,0.559,0.591,106.2,105.48,87.9,3331,0.511,61,210,4596,2033,5,1409,2731,1851,1065,732,539,3576,2152,3090,1560,1410,1519,1405,1803,4545480,2025-26,2
Lineups,-1626157-1628969-,K. Towns - M. Bridges,1610612752,NYK,59,38,21,0.644,1505.0,118.6,119.0,110.1,110.5,8.4,8.4,0.672,2.27,20.4,0.293,0.727,0.511,0.128,0.569,0.603,100.7,100.32,83.6,3155,0.547,14,18,4307,1172,6,719,2346,1116,1555,727,701,2678,1287,1725,1433,1102,1127,3522,1071,4514255,2025-26,2
Lineups,-1628969-1628973-,M. Bridges - J. Brunson,1610612752,NYK,58,39,19,0.672,1494.0,118.1,118.6,112.5,113.4,5.5,5.2,0.633,2.15,19.5,0.298,0.711,0.505,0.128,0.567,0.598,100.0,99.45,82.88,3096,0.528,26,9,4157,902,7,749,2900,1461,2415,969,1186,2550,1740,1976,1427,1171,1300,3810,1452,4481300,2025-26,2
Lineups,-203944-1630183-,J. Randle - J. McDaniels,1610612750,MIN,60,37,23,0.617,1484.0,119.5,119.1,111.1,112.4,8.3,6.6,0.613,1.84,18.8,0.295,0.699,0.507,0.143,0.59,0.621,103.2,102.81,85.68,3174,0.532,8,26,4442,1391,8,709,2726,1318,2882,1938,1572,2632,2157,1889,2467,710,748,2503,1340,4451930,2025-26,2
Lineups,-1630178-1642845-,T. Maxey - V. Edgecombe,1610612755,PHI,55,31,24,0.564,1470.0,114.8,116.0,111.8,114.1,3.0,1.9,0.595,2.01,17.6,0.315,0.665,0.485,0.124,0.53,0.572,100.9,99.34,82.78,3057,0.502,61,145,4498,1785,9,1114,3037,1833,3280,1273,2509,2094,3283,2948,1182,2546,2316,3845,2030,4409495,2025-26,2
Lineups,-203944-1628978-,J. Randle - D. DiVincenzo,1610612750,MIN,62,39,23,0.629,1455.0,119.9,119.5,111.5,112.6,8.4,6.9,0.623,1.89,19.1,0.294,0.7,0.505,0.141,0.59,0.622,103.6,103.21,86.01,3143,0.538,1,9,4442,1290,10,666,2764,1283,2678,1748,1407,2654,2094,1980,2290,699,729,2352,1233,4364805,2025-26,2
Lineups,-1630578-1641708-,A. Sengun - A. Thompson,1610612745,HOU,51,32,19,0.627,1437.0,115.9,116.9,111.5,111.2,4.3,5.6,0.591,1.71,17.9,0.392,0.7,0.546,0.151,0.546,0.579,98.6,98.32,81.94,2952,0.538,140,120,4157,1295,11,968,2488,1414,3345,2367,2265,681,2135,747,2928,1873,2041,4089,1231,4310950,2025-26,2
Lineups,-203944-1630162-,J. Randle - A. Edwards,1610612750,MIN,52,33,19,0.635,1433.0,118.8,119.2,113.3,114.0,5.5,5.2,0.598,1.9,18.3,0.306,0.699,0.507,0.134,0.573,0.609,103.0,102.54,85.45,3065,0.528,115,91,4157,1264,12,700,3022,1459,3221,1716,1962,2347,2147,1901,1812,988,972,2602,1450,4298690,2025-26,2
Lineups,-1628978-1630183-,D. DiVincenzo - J. McDaniels,1610612750,MIN,60,37,23,0.617,1419.0,119.6,119.7,109.4,110.9,10.2,8.8,0.627,1.89,19.4,0.294,0.707,0.511,0.145,0.59,0.62,103.1,102.41,85.34,3027,0.544,8,26,4442,1391,13,653,2419,1090,2558,1764,1221,2668,1871,1721,2566,697,770,2660,1119,4257050,2025-26,2
Lineups,-203497-1628978-,R. Gobert - D. DiVincenzo,1610612750,MIN,59,38,21,0.644,1413.0,116.9,116.9,105.5,107.2,11.4,9.7,0.628,1.86,19.0,0.298,0.703,0.51,0.144,0.574,0.601,102.7,101.85,84.88,2993,0.556,14,18,4307,1172,14,960,1702,1019,2547,1844,1434,2573,1999,1752,2527,967,1181,2922,918,4238550,2025-26,2
Lineups,-1630193-1630567-,I. Quickley - S. Barnes,1610612761,TOR,56,33,23,0.589,1410.0,115.1,115.4,109.8,110.0,5.3,5.4,0.679,2.4,20.5,0.305,0.683,0.496,0.123,0.55,0.584,101.7,101.47,84.56,2980,0.534,47,91,4442,1613,15,1191,2218,1433,1443,566,676,2362,2675,2468,1165,1737,1826,3095,1304,4231125,2025-26,2
Lineups,-1627759-1630202-,J. Brown - P. Pritchard,1610612738,BOS,54,34,20,0.63,1367.0,116.5,118.5,113.9,115.0,2.6,3.5,0.57,1.96,17.8,0.319,0.695,0.511,0.127,0.558,0.588,99.5,98.17,81.81,2802,0.517,75,71,4234,1284,16,764,3202,1653,3727,1524,2365,1977,2297,1728,1384,1440,1619,4132,1681,4099860,2025-26,2
Lineups,-1628976-1630217-,W. Carter Jr. - D. Bane,1610612753,ORL,57,30,27,0.526,1365.0,112.6,113.7,109.8,110.4,2.8,3.3,0.643,1.99,18.8,0.274,0.708,0.493,0.131,0.541,0.585,102.5,101.65,84.71,2892,0.522,33,176,4631,2035,17,1497,2327,1674,2180,1452,1605,3182,1845,2608,1624,2107,1767,3004,1560,4094080,2025-26,2
Lineups,-201566-201942-,R. Westbrook - D. DeRozan,1610612758,SAC,58,13,45,0.224,1364.0,108.6,108.7,120.9,122.5,-12.3,-13.9,0.615,1.74,18.3,0.278,0.691,0.479,0.145,0.532,0.567,103.1,102.44,85.37,2921,0.442,26,1169,4798,3746,18,2486,4088,3651,2822,2279,1948,3085,2426,3170,2608,2461,2532,2646,3336,4091330,2025-26,2
